reading_id,session_date,phone_clock,graph_clock,capture_type,channel_graph_header,channel_list_label,paired_with,gear,load,thermal,coolant_c,ac,rpm_at_capture,value,value_min,value_max,span,units,reading_method,admissible,epoch,notes,source
PART3-0101,2026-09-05,unknown,unknown,graph_paired,O2S5 air:fuel,Oxygen sensor 5 Wide Range Equivalence ratio,unknown,driving,WOT,warm,unknown,unknown,unknown,unknown,12.33,29.38,17.05,AFR,curve_read,yes,post_drive,Full sweep both directions - dipped to 12.33 under power enrichment,[238]
PART3-0102,2026-09-05,unknown,unknown,value_read,unknown,Commanded air fuel ratio at wide throttle,unknown,driving,WOT,warm,unknown,unknown,unknown,12.3,unknown,unknown,unknown,AFR,curve_read,yes,post_drive,"Stated as ""commanded 12.3:1 at wide throttle and got it"" - proves pump, regulator and injectors under load",[238]
PART3-0103,2026-09-05,unknown,unknown,graph_paired,Abs. load,Absolute load value,PART3-0105,driving,WOT,warm,unknown,unknown,unknown,96.47,91,96.47,unknown,%,curve_read,yes,post_drive,Peak 96.47 with 91-94 sustained through the pull; healthy target is 90-100,[240];[241]
PART3-0104,2026-09-05,unknown,unknown,graph_paired,MAF,MAF air flow rate,PART3-0105,driving,WOT,warm,unknown,unknown,unknown,215.27,10,215.27,205.27,g/s,curve_read,yes,post_drive,Rose smoothly and linearly from 10 to 215 g/s to the limiter with no plateau,[240];[241]
PART3-0105,2026-09-05,unknown,unknown,graph_paired,Engine RPM,Engine RPM,PART3-0103,driving,WOT,warm,unknown,unknown,unknown,6832,unknown,6832,unknown,rpm,curve_read,yes,post_drive,Clean pull to the rev limiter,[240];[241]
PART3-0106,2026-09-05,4:04,unknown,graph_paired,LTFT - B1,Long term fuel % trim - Bank 1,PART3-0107,unknown,unknown,warm,unknown,unknown,unknown,-1.56,-1.56,-1.56,0,%,curve_read,yes,post_drive,Flat min = avg = max. Operating condition NOT recorded - assistant asked whether it was cruise or idle and did not get an answer,[240];[241];[242]
PART3-0107,2026-09-05,4:04,unknown,graph_paired,LTFT - B2,Long term fuel % trim - Bank 2,PART3-0106,unknown,unknown,warm,unknown,unknown,unknown,-0.78,-0.78,-0.78,0,%,curve_read,yes,post_drive,Flat; one quantisation step from bank 1. Operating condition not recorded,[240];[241];[242]
PART3-0108,2026-09-05,unknown,unknown,calculation,unknown,Estimated peak power from MAF,unknown,driving,WOT,warm,unknown,unknown,6832,301,unknown,unknown,unknown,hp,inferred,yes,post_drive,215 g/s times a rule-of-thumb 1.4 against a 302 hp rating,[241]
PART3-0109,2026-09-05,04:28,unknown,graph_paired,LTFT - B1,Long term fuel % trim - Bank 1,PART3-0110,P,idle,warm,unknown,unknown,unknown,-0.78,-0.78,-0.78,0,%,curve_read,yes,post_drive,Three consecutive windows all min = avg = max; the idle cell with adaptives fully relearned,[250];[251]
PART3-0110,2026-09-05,04:28,unknown,graph_paired,LTFT - B2,Long term fuel % trim - Bank 2,PART3-0109,P,idle,warm,unknown,unknown,unknown,-0.78,-0.78,-0.78,0,%,curve_read,yes,post_drive,Identical to bank 1 - not within one step but literally the same number,[250];[251]
PART3-0111,2026-09-05,04:28,unknown,graph_paired,EVAP purge,Commanded evaporative purge,unknown,P,idle,warm,unknown,unknown,unknown,unknown,47,49.8,2.8,%,curve_read,yes,post_drive,New valve - actively stepping up and down over tens of seconds,[250];[251]
PART3-0112,2026-09-05,unknown,unknown,graph_paired,EVAP purge,Commanded evaporative purge,unknown,P,idle,warm,unknown,unknown,unknown,unknown,40,41,1,%,curve_read,yes,pre_purge_valve,"Old valve - restated here for comparison; flat, drifting one step at a time",[251]
PART3-0113,2026-09-05,04:28,12:37-12:52,graph_paired,Engine RPM,Engine RPM,unknown,P,idle,warm,unknown,unknown,650,unknown,unknown,unknown,56,rpm,curve_read,yes,post_drive,Same 3.4 s rhythm; hunt unchanged by the purge valve repair,[250];[251]
PART3-0114,2026-09-05,04:28,12:52-13:07,graph_paired,Engine RPM,Engine RPM,unknown,P,idle,warm,unknown,unknown,650,unknown,unknown,unknown,51,rpm,curve_read,yes,post_drive,unknown,[250];[251]
PART3-0115,2026-09-05,04:28,13:03-13:18,graph_paired,Engine RPM,Engine RPM,unknown,P,idle,warm,unknown,unknown,650,unknown,unknown,unknown,57,rpm,curve_read,yes,post_drive,unknown,[250];[251]
PART3-0116,2026-09-05,04:28,13:18-13:33,graph_paired,Engine RPM,Engine RPM,unknown,P,idle,warm,unknown,unknown,650,unknown,unknown,unknown,67,rpm,curve_read,yes,post_drive,Widest span measured in this session,[250];[251]
PART3-0117,2026-09-05,04:28,13:32-13:47,graph_paired,Engine RPM,Engine RPM,unknown,P,idle,warm,unknown,unknown,650,unknown,unknown,unknown,61,rpm,curve_read,yes,post_drive,unknown,[250];[251]
PART3-0118,2026-09-05,unknown,unknown,mode06,unknown,Misfire counts cylinder 1 (this drive cycle),unknown,n/a,n/a,unknown,unknown,unknown,unknown,0,unknown,unknown,unknown,counts,menu,yes,post_drive,Test limit not stated in the transcript; no PASSED/FAILED given per cylinder,[253];[254]
PART3-0119,2026-09-05,unknown,unknown,mode06,unknown,Misfire counts cylinder 2 (this drive cycle),unknown,n/a,n/a,unknown,unknown,unknown,unknown,0,unknown,unknown,unknown,counts,menu,yes,post_drive,Test limit not stated in the transcript,[253];[254]
PART3-0120,2026-09-05,unknown,unknown,mode06,unknown,Misfire counts cylinder 3 (this drive cycle),unknown,n/a,n/a,unknown,unknown,unknown,unknown,0,unknown,unknown,unknown,counts,menu,yes,post_drive,Test limit not stated in the transcript,[253];[254]
PART3-0121,2026-09-05,unknown,unknown,mode06,unknown,Misfire counts cylinder 4 (this drive cycle),unknown,n/a,n/a,unknown,unknown,unknown,unknown,2,unknown,unknown,unknown,counts,menu,yes,post_drive,Highest of the six; assistant attributes it to noise or to the rev limiter cutting fuel and spark at 6832 rpm,[253];[254]
PART3-0122,2026-09-05,unknown,unknown,mode06,unknown,Misfire counts cylinder 5 (this drive cycle),unknown,n/a,n/a,unknown,unknown,unknown,unknown,0,unknown,unknown,unknown,counts,menu,yes,post_drive,Test limit not stated in the transcript,[253];[254]
PART3-0123,2026-09-05,unknown,unknown,mode06,unknown,Misfire counts cylinder 6 (this drive cycle),unknown,n/a,n/a,unknown,unknown,unknown,unknown,1,unknown,unknown,unknown,counts,menu,yes,post_drive,Test limit not stated in the transcript,[253];[254]
PART3-0124,2026-09-05,unknown,unknown,mode06,unknown,Misfire 10-cycle average cylinder 1,unknown,n/a,n/a,unknown,unknown,unknown,unknown,0,unknown,unknown,unknown,counts,menu,yes,post_drive,Zero on all six - the argument that killed the single-weak-cylinder theory,[253];[254]
PART3-0125,2026-09-05,unknown,unknown,mode06,unknown,Misfire 10-cycle average cylinder 2,unknown,n/a,n/a,unknown,unknown,unknown,unknown,0,unknown,unknown,unknown,counts,menu,yes,post_drive,unknown,[253];[254]
PART3-0126,2026-09-05,unknown,unknown,mode06,unknown,Misfire 10-cycle average cylinder 3,unknown,n/a,n/a,unknown,unknown,unknown,unknown,0,unknown,unknown,unknown,counts,menu,yes,post_drive,unknown,[253];[254]
PART3-0127,2026-09-05,unknown,unknown,mode06,unknown,Misfire 10-cycle average cylinder 4,unknown,n/a,n/a,unknown,unknown,unknown,unknown,0,unknown,unknown,unknown,counts,menu,yes,post_drive,Zero despite 2 raw counts,[253];[254]
PART3-0128,2026-09-05,unknown,unknown,mode06,unknown,Misfire 10-cycle average cylinder 5,unknown,n/a,n/a,unknown,unknown,unknown,unknown,0,unknown,unknown,unknown,counts,menu,yes,post_drive,unknown,[253];[254]
PART3-0129,2026-09-05,unknown,unknown,mode06,unknown,Misfire 10-cycle average cylinder 6,unknown,n/a,n/a,unknown,unknown,unknown,unknown,0,unknown,unknown,unknown,counts,menu,yes,post_drive,Zero despite 1 raw count,[253];[254]
PART3-0130,2026-09-05,unknown,unknown,mode06,unknown,Catalyst Monitor Bank 1,PART3-0131,n/a,n/a,unknown,unknown,unknown,unknown,0.371,unknown,0.836,unknown,ratio,menu,yes,post_drive,PASSED - 44 percent of the failure threshold,[253];[254]
PART3-0131,2026-09-05,unknown,unknown,mode06,unknown,Catalyst Monitor Bank 2,PART3-0130,n/a,n/a,unknown,unknown,unknown,unknown,0.363,unknown,0.836,unknown,ratio,menu,yes,post_drive,PASSED - within 2 percent of bank 1,[253];[254]
PART3-0132,2026-09-05,unknown,unknown,mode06,unknown,Oxygen sensor monitor Bank 1 Sensor 1 response time,PART3-0133,n/a,n/a,unknown,unknown,unknown,unknown,0.014,unknown,0.4,unknown,s,menu,yes,post_drive,PASSED - 3.5 percent of the limit,[253];[254]
PART3-0133,2026-09-05,unknown,unknown,mode06,unknown,Oxygen sensor monitor Bank 2 Sensor 1 response time,PART3-0132,n/a,n/a,unknown,unknown,unknown,unknown,0.014,unknown,0.4,unknown,s,menu,yes,post_drive,PASSED - identical to bank 1,[253];[254]
PART3-0134,2026-09-05,unknown,unknown,mode06,unknown,Oxygen sensor monitor Bank 1 Sensor 2 response time,PART3-0135,n/a,n/a,unknown,unknown,unknown,unknown,0.792,unknown,10,unknown,s,menu,yes,post_drive,PASSED,[253];[254]
PART3-0135,2026-09-05,unknown,unknown,mode06,unknown,Oxygen sensor monitor Bank 2 Sensor 2 response time,PART3-0134,n/a,n/a,unknown,unknown,unknown,unknown,0.856,unknown,10,unknown,s,menu,yes,post_drive,PASSED,[253];[254]
PART3-0136,2026-09-05,unknown,unknown,mode06,unknown,Oxygen sensor heater current (first of the matched pair),PART3-0137,n/a,n/a,unknown,unknown,unknown,unknown,2550,unknown,unknown,unknown,mA,menu,yes,post_drive,"Reported as ""heater currents matched too (2550 / 2455 mA)"" - bank assignment and limits not stated",[253];[254]
PART3-0137,2026-09-05,unknown,unknown,mode06,unknown,Oxygen sensor heater current (second of the matched pair),PART3-0136,n/a,n/a,unknown,unknown,unknown,unknown,2455,unknown,unknown,unknown,mA,menu,yes,post_drive,Bank assignment and limits not stated,[253];[254]
PART3-0138,2026-09-05,unknown,unknown,mode06,unknown,VVT Monitor Bank 1 error,PART3-0139,n/a,n/a,unknown,unknown,unknown,unknown,0.06,unknown,20,unknown,deg,menu,yes,post_drive,PASSED - phaser tracks target within six hundredths of a degree,[253];[254]
PART3-0139,2026-09-05,unknown,unknown,mode06,unknown,VVT Monitor Bank 2 error,PART3-0138,n/a,n/a,unknown,unknown,unknown,unknown,0.05,unknown,20,unknown,deg,menu,yes,post_drive,PASSED,[253];[254]
PART3-0140,2026-09-05,unknown,unknown,mode06,unknown,Fuel system monitor Bank 1,PART3-0141,n/a,n/a,unknown,unknown,unknown,unknown,0,unknown,unknown,unknown,unknown,menu,yes,post_drive,"Stated only as ""0 both banks""; limit not given in the transcript",[255]
PART3-0141,2026-09-05,unknown,unknown,mode06,unknown,Fuel system monitor Bank 2,PART3-0140,n/a,n/a,unknown,unknown,unknown,unknown,0,unknown,unknown,unknown,unknown,menu,yes,post_drive,Limit not given in the transcript,[255]
PART3-0142,2026-09-05,unknown,unknown,monitor_status,unknown,Monitor status since DTCs cleared. - Evaporative System,unknown,n/a,n/a,unknown,unknown,unknown,unknown,Not completed,unknown,unknown,unknown,status,value_read,yes,post_drive,The only monitor still incomplete after the drive; needs fuel level and cold soak conditions,[266]
PART3-0143,2026-09-05,unknown,unknown,graph_paired,Fuel/Air com. ratio,Fuel/Air commanded equivalence ratio,PART3-0145,P,idle,warm,unknown,unknown,650,unknown,14.42,14.86,0.44,AFR,curve_read,yes,post_drive,"Two-level square wave with vertical edges, period about 3.5 s, amplitude about plus/minus 1.5 percent",[258];[259]
PART3-0144,2026-09-04,unknown,unknown,graph_paired,Fuel/Air com. ratio,Fuel/Air commanded equivalence ratio,unknown,P,idle,warm,unknown,unknown,unknown,unknown,14.41,14.86,0.45,AFR,curve_read,yes,pre_purge_valve,First-night values restated here for comparison; period about 3.4 s,[259]
PART3-0145,2026-09-05,unknown,unknown,graph_paired,Engine RPM,Engine RPM,PART3-0143,P,idle,warm,unknown,unknown,650,unknown,unknown,unknown,unknown,rpm,curve_read,yes,post_drive,"Assistant states rpm swings 40-56 in this capture - a range of spans, not a single window",[259]
PART3-0146,2026-09-05,unknown,37:00-37:15,graph_paired,Fuel/Air com. ratio,Fuel/Air commanded equivalence ratio,PART3-0147,P,idle,warm,unknown,unknown,650,14.42,unknown,unknown,unknown,AFR,curve_read,yes,post_drive,"Rich commands at graph clock 37:01.5, 37:05 and 37:08.5",[259]
PART3-0147,2026-09-05,unknown,37:00-37:15,graph_paired,Engine RPM,Engine RPM,PART3-0146,P,idle,warm,unknown,unknown,650,unknown,unknown,unknown,unknown,s,curve_read,yes,post_drive,"RPM peaks at about 37:03, 37:06.5 and 37:10 - a lag of 1 to 1.5 s behind each rich command",[259]
PART3-0148,2026-09-05,unknown,unknown,graph_paired,Throttle Position Actually,Throttle Position Actually,PART3-0145,P,idle,warm,unknown,unknown,650,unknown,9.44,10.33,0.89,deg,curve_read,yes,post_drive,"Flat with min = avg = max within a window; steps between 9.44 / 9.55 / 9.88 / 10.33 over tens of seconds - drift, not oscillation",[258];[259]
PART3-0149,2026-09-05,unknown,unknown,physical,unknown,Acceleration Spectrum (phyphox),unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,210,210,Hz,curve_read,no,post_drive,"Unreadable - horizontal axis spanned 0-210 Hz so the 5-33 Hz region of interest was compressed at the left edge. rpm, phone location, engine on/off and a noise-floor recording were all not recorded",[263];[264]
PART3-0150,2026-09-05,unknown,unknown,value_read,ping,Scan app ping (adapter response time),unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,60,90,30,ms,value_read,yes,post_drive,"Tool metadata, not a vehicle reading; implies a resolution ceiling of about 5-8 Hz",[249]
PART3-0151,2026-09-05,unknown,unknown,value_read,ping,Scan app ping (adapter response time),unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,56,117,61,ms,value_read,yes,post_drive,"Tool metadata; restated range implying 4-8 Hz resolution, below the 10.8 Hz and 32.5 Hz frequencies of interest",[252]
PART3-0152,2026-09-05,unknown,unknown,calculation,unknown,Half order frequency at 650 rpm,unknown,P,idle,warm,unknown,unknown,650,5.4,unknown,unknown,unknown,Hz,inferred,yes,post_drive,One cylinder differing from the other five,[244]
PART3-0153,2026-09-05,unknown,unknown,calculation,unknown,First order frequency at 650 rpm,unknown,P,idle,warm,unknown,unknown,650,10.8,unknown,unknown,unknown,Hz,inferred,yes,post_drive,Rotational imbalance or engine rock on mounts,[244]
PART3-0154,2026-09-05,unknown,unknown,calculation,unknown,Second order frequency at 650 rpm,unknown,P,idle,warm,unknown,unknown,650,21.7,unknown,unknown,unknown,Hz,inferred,yes,post_drive,unknown,[262]
PART3-0155,2026-09-05,unknown,unknown,calculation,unknown,Third order (firing pulse) frequency at 650 rpm,unknown,P,idle,warm,unknown,unknown,650,32.5,unknown,unknown,unknown,Hz,inferred,yes,post_drive,Normal V6 firing beat,[244];[262]
PART3-0156,2026-09-05,unknown,unknown,calculation,unknown,Half order frequency at 1200 rpm,unknown,P,rpm_sweep,warm,unknown,unknown,1200,10,unknown,unknown,unknown,Hz,inferred,yes,post_drive,unknown,[244]
PART3-0157,2026-09-05,unknown,unknown,calculation,unknown,First order frequency at 1200 rpm,unknown,P,rpm_sweep,warm,unknown,unknown,1200,20,unknown,unknown,unknown,Hz,inferred,yes,post_drive,unknown,[244]
PART3-0158,2026-09-05,unknown,unknown,calculation,unknown,Third order (firing pulse) frequency at 1200 rpm,unknown,P,rpm_sweep,warm,unknown,unknown,1200,60,unknown,unknown,unknown,Hz,inferred,yes,post_drive,unknown,[244]
PART3-0159,2026-09-05,unknown,unknown,calculation,unknown,First order frequency at 660 rpm,unknown,P,idle,warm,unknown,unknown,660,11.0,unknown,unknown,unknown,Hz,inferred,yes,post_drive,Given to show every order scales with the recorded rpm,[262]
PART3-0160,2026-09-05,unknown,unknown,calculation,unknown,Engine rock on mounts resonance band,unknown,P,idle,warm,unknown,unknown,650,unknown,8,15,7,Hz,inferred,no,post_drive,"Generic reference band quoted by the assistant, not measured on this truck",[244];[247]
